################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0613754791146011E+01 a       117     0     4     1    27
  9.8854298696267295E-01 a       118     0     4     1    28
 -3.1925350084917117E+00 a       119     0     4     1    29
 -6.1510418577190693E+00 a       120     0     4     1    30
 -4.3150571497976502E+00 a       121     0     5     1     1
 -9.2692391095108757E+00 a       122     0     5     1     2
 -1.9029117395486313E+01 a       123     0     5     1     3
  1.9289905701207793E+01 a       124     0     5     1     4
 -8.1843924062818516E+00 a       125     0     5     1     5
  1.5410593907257025E+01 a       126     0     5     1     6
 -1.1232176694289084E+00 a       127     0     5     1     7
  1.1581095614705566E+01 a       128     0     5     1     8
 -1.5499742089251687E+00 a       129     0     5     1     9
 -9.0687043048835516E+00 a       130     0     5     1    10
 -1.3087706064108353E+01 a       131     0     5     1    11
  1.5574677359053513E+01 a       132     0     5     1    12
 -6.0466349237978321E+00 a       133     0     5     1    13
  1.5536843994807599E+01 a       134     0     5     1    14
 -5.3800753481381154E+00 a       135     0     5     1    15
 -1.1223633190357704E+01 a       136     0     5     1    16
 -8.8102785551308731E+00 a       137     0     5     1    17
 -3.0304903185866694E+00 a       138     0     5     1    18
 -2.1014711783692519E+00 a       139     0     5     1    19
  1.4431427574398395E+01 a       140     0     5     1    20
 -7.3907390491888023E+00 a       141     0     5     1    21
  1.0855266385704669E+01 a       142     0     5     1    22
 -1.7910975425676841E+00 a       143     0     5     1    23
 -6.2121769273706775E+00 a       144     0     5     1    24
 -7.2828557405308034E+00 a       145     0     5     1    25
  1.4330678315819725E+01 a       146     0     5     1    26
  2.1845536174121079E+00 a       147     0     5     1    27
  3.5728684381501669E-01 a       148     0     5     1    28
 -9.5825487163467615E-01 a       149     0     5     1    29
 -6.9494712793313838E+00 a       150     0     5     1    30
 -4.9394656580514065E+00 a       151     0     6     1     1
  3.6158893490496091E-01 a       152     0     6     1     2
  1.2253870559579982E+01 a       153     0     6     1     3
 -5.4230075639552959E+00 a       154     0     6     1     4
  2.7261872471649449E+00 a       155     0     6     1     5
 -1.0521168105544380E+01 a       156     0     6     1     6
 -2.3729921916456154E+00 a       157     0     6     1     7
 -4.4902203730400112E+00 a       158     0     6     1     8
 -9.3335154627677208E-01 a       159     0     6     1     9
 -5.8524038730317951E-01 a       160     0     6     1    10
 -7.7523838270555014E+00 a       161     0     6     1    11
 -7.4680398888160289E+00 a       162     0     6     1    12
 -2.2649815500630819E+00 a       163     0     6     1    13
 -4.2108703180471352E+00 a       164     0     6     1    14
  1.1426950383308325E+00 a       165     0     6     1    15
  6.9847328900752128E+00 a       166     0     6     1    16
  5.2001898791894341E+00 a       167     0     6     1    17
 -1.5116848404769025E+00 a       168     0     6     1    18
  5.8228613878493798E+00 a       169     0     6     1    19
 -9.4533580328700264E+00 a       170     0     6     1    20
  2.5296503860530364E+00 a       171     0     6     1    21
  5.8888942699253122E-01 a       172     0     6     1    22
  5.8555138877004973E+00 a       173     0     6     1    23
  8.3775597375097597E+00 a       174     0     6     1    24
  6.7293265484348916E+00 a       175     0     6     1    25
 -2.2177692027309055E+00 a       176     0     6     1    26
  1.1489178872304364E+00 a       177     0     6     1    27
  7.2304318906745114E-03 a       178     0     6     1    28
 -6.4063035873876562E+00 a       179     0     6     1    29
  4.0700557937251514E+00 a       180     0     6     1    30
 -8.8731668920498254E+00 a       181     0     7     1     1
 -4.0839349633188675E+00 a       182     0     7     1     2
 -8.9378153341297981E+00 a       183     0     7     1     3
  7.4095332690265492E+00 a       184     0     7     1     4
 -8.3711643052053617E+00 a       185     0     7     1     5
 -4.9459265864062179E+00 a       186     0     7     1     6
 -3.1583150705574061E+00 a       187     0     7     1     7
  2.0855409995623653E+00 a       188     0     7     1     8
  1.0410582406486950E+00 a       189     0     7     1     9
 -1.0649289491620452E+01 a       190     0     7     1    10
 -4.9911670894773934E+00 a       191     0     7     1    11
  1.2097242001166510E+01 a       192     0     7     1    12
  2.4482850040610211E+00 a       193     0     7     1    13
  8.8818228625152695E+00 a       194     0     7     1    14
 -1.8292642318107513E+00 a       195     0     7     1    15
 -1.4854119784100075E-01 a       196     0     7     1    16
 -6.2427019502986552E+00 a       197     0     7     1    17
 -2.0442865692671770E+00 a       198     0     7     1    18
 -1.9612924284069138E+00 a       199     0     7     1    19
  1.1801222011368305E+01 a       200     0     7     1    20
 -7.9034572493664461E+00 a       201     0     7     1    21
  1.1993346919082216E+01 a       202     0     7     1    22
  5.7933220970316714E+00 a       203     0     7     1    23
 -3.9227355783149020E+00 a       204     0     7     1    24
  3.5927701142650132E+00 a       205     0     7     1    25
  7.5060724276020103E+00 a       206     0     7     1    26
 -7.7369760660917750E+00 a       207     0     7     1    27
 -7.7355225275155071E-01 a       208     0     7     1    28
 -1.1732724861643925E+01 a       209     0     7     1    29
 -7.0088155949364666E+00 a       210     0     7     1    30
  4.9316205170261701E-01 a       211     0     8     1     1
  3.7356001209495138E-01 a       212     0     8     1     2
 -1.1594981048055975E+00 a       213     0     8     1     3
  1.1830079344813532E-01 a       214     0     8     1     4
  3.5671461373974711E-01 a       215     0     8     1     5
 -1.6065765714867494E-02 a       216     0     8     1     6
  8.1654763918940687E-01 a       217     0     8     1     7
 -6.3092068356157793E-01 a       218     0     8     1     8
  7.4707974026588309E-01 a       219     0     8     1     9
  8.4822988556351300E-02 a       220     0     8     1    10
  2.8887715977209014E+00 a       221     0     8     1    11
  6.3591026771291348E-01 a       222     0     8     1    12
  2.1380028393014556E+00 a       223     0     8     1    13
 -4.8529911987434604E-01 a       224     0     8     1    14
  6.9564935439538655E-01 a       225     0     8     1    15
 -2.8996554657985241E-01 a       226     0     8     1    16
 -5.0111866199240518E-01 a       227     0     8     1    17
  1.8995833807733665E-02 a       228     0     8     1    18
 -1.0503231008558087E+00 a       229     0     8     1    19
  1.4963546216835131E+00 a       230     0     8     1    20
 -1.2469776759092825E+00 a       231     0     8     1    21
 -2.8607034385729396E-01 a       232     0     8     1    22
 -1.8689997489472074E-02 a       233     0     8     1    23
 -1.5564279899696061E+00 a       234     0     8     1    24
 -3.1089027134194841E-01 a       235     0     8     1    25
 -9.3936026558053087E-01 a       236     0     8     1    26
 -1.4890478697679277E+00 a       237     0     8     1    27
  4.2339455722445757E-01 a       238     0     8     1    28
  1.0420059653538192E+00 a       239     0     8     1    29
 -9.7387757118389950E-01 a       240     0     8     1    30
 -1.4562680722628887E+00 a       241     0     9     1     1
 -4.3737682989918852E-01 a       242     0     9     1     2
 -1.0772736841116455E+00 a       243     0     9     1     3
 -8.9824823045586577E-01 a       244     0     9     1     4
 -2.3280418079991407E+00 a       245     0     9     1     5
 -5.0241074984360097E+00 a       246     0     9     1     6
  1.1093754514574236E-01 a       247     0     9     1     7
 -1.9742542059813450E+00 a       248     0     9     1     8
  7.9581214263025457E-01 a       249     0     9     1     9
 -1.4913336144456559E+00 a       250     0     9     1    10
  8.4982611646139699E+00 a       251     0     9     1    11
  1.5904627191023351E+00 a       252     0     9     1    12
  7.9862333844646720E+00 a       253     0     9     1    13
 -3.5744727874608911E-01 a       254     0     9     1    14
  1.5611374649348644E+00 a       255     0     9     1    15
 -6.1997015169204095E-01 a       256     0     9     1    16
  1.0406774556734059E-02 a       257     0     9     1    17
 -3.2580111778120395E+00 a       258     0     9     1    18
 -2.4999913592270171E+00 a       259     0     9     1    19
  6.4966161405341474E+00 a       260     0     9     1    20
 -2.1703124120404698E+00 a       261     0     9     1    21
  3.2883696113378482E+00 a       262     0     9     1    22
  6.4506671177476154E+00 a       263     0     9     1    23
 -2.6670356033854472E+00 a       264     0     9     1    24
  3.3358027298491999E+00 a       265     0     9     1    25
 -3.2035649339901027E+00 a       266     0     9     1    26
 -7.8615365019603125E+00 a       267     0     9     1    27
 -1.2987075822093381E+00 a       268     0     9     1    28
 -3.8141414233244957E+00 a       269     0     9     1    29
 -5.3084415212781257E+00 a       270     0     9     1    30
 -3.8902389505448623E-02 a       271     0    10     1     1
  3.3997492497892190E-01 a       272     0    10     1     2
 -6.9517376564110100E-01 a       273     0    10     1     3
 -5.5772986689848780E-01 a       274     0    10     1     4
 -5.2983213578657529E-01 a       275     0    10     1     5
 -1.2804295607263054E+00 a       276     0    10     1     6
  3.2761579305591332E-01 a       277     0    10     1     7
 -1.0404526390933739E+00 a       278     0    10     1     8
  1.8292915974211332E-01 a       279     0    10     1     9
 -3.8477189508982496E-01 a       280     0    10     1    10
  2.0555682504313184E+00 a       281     0    10     1    11
 -2.6670801156882373E-01 a       282     0    10     1    12
  1.8522728927979086E+00 a       283     0    10     1    13
 -1.9416773041617497E+00 a       284     0    10     1    14
 -2.1778994425750958E-01 a       285     0    10     1    15
 -9.3752646541821680E-02 a       286     0    10     1    16
  3.9155963536380478E-01 a       287     0    10     1    17
  1.3645026581852207E-01 a       288     0    10     1    18
 -4.5972052020760090E-01 a       289     0    10     1    19
  1.5207155003380610E+00 a       290     0    10     1    20
  3.5829168922915233E-01 a       291     0    10     1    21
  4.7937970515546036E-01 a       292     0    10     1    22
  3.1848234757405280E-01 a       293     0    10     1    23
 -9.7880701780076296E-01 a       294     0    10     1    24
  5.8654965447367480E-01 a       295     0    10     1    25
 -1.1085203674286848E+00 a       296     0    10     1    26
 -1.1335108274617740E+00 a       297     0    10     1    27
 -5.9677697657206574E-01 a       298     0    10     1    28
 -4.3128255215609385E-01 a       299     0    10     1    29
 -9.8769815806006633E-01 a       300     0    10     1    30
  1.8522965243608664E+00 a       301     0    11     1     1
  4.5320751896816347E+00 a       302     0    11     1     2
  1.6840046462807532E+01 a       303     0    11     1     3
 -1.0685191386276783E+01 a       304     0    11     1     4
 -3.2480216985147936E+00 a       305     0    11     1     5
  6.2546798785033104E+00 a       306     0    11     1     6
 -1.5565877084230307E+01 a       307     0    11     1     7
 -2.5183199485670169E+01 a       308     0    11     1     8
 -3.6666429790954794E+01 a       309     0    11     1     9
  1.0820608564422622E+01 a       310     0    11     1    10
  1.4789615380024458E+01 a       311     0    11     1    11
  2.8098350606345722E+01 a       312     0    11     1    12
  9.6068472883362350E+00 a       313     0    11     1    13
 -1.2820353151957422E+01 a       314     0    11     1    14
 -5.0566824224730009E+00 a       315     0    11     1    15
  1.6267517104789185E+01 a       316     0    11     1    16
 -6.6491199900799947E-01 a       317     0    11     1    17
  6.8434902883965991E+00 a       318     0    11     1    18
 -1.3069806764320295E+00 a       319     0    11     1    19
  7.2973091323483608E-01 a       320     0    11     1    20
  5.6575947560710995E+00 a       321     0    11     1    21
  1.5467800648476107E+00 a       322     0    11     1    22
  1.2386800260272177E+00 a       323     0    11     1    23
  2.1802766475412952E+01 a       324     0    11     1    24
 -9.1926084438324267E+00 a       325     0    11     1    25
  9.4645422008331064E+00 a       326     0    11     1    26
 -2.0748641377262668E+01 a       327     0    11     1    27
  5.1785652501247688E+00 a       328     0    11     1    28
 -2.0381136252755415E+01 a       329     0    11     1    29
  9.7027884759071874E+00 a       330     0    11     1    30
 -7.5001105115306943E-01 a       331     0    12     1     1
  2.0625946374060554E+01 a       332     0    12     1     2
