################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.5563499320665116E+01 a         1     0     1     1     1
 -7.2232110945613304E+00 a         2     0     1     1     2
 -1.6616565781645136E+01 a         3     0     1     1     3
  1.2509155524449714E+01 a         4     0     1     1     4
 -9.7929924386863334E+00 a         5     0     1     1     5
 -3.2237905335398396E+00 a         6     0     1     1     6
  7.5336707991061735E-01 a         7     0     1     1     7
  2.1010818576695005E+01 a         8     0     1     1     8
  2.8032477252306851E+01 a         9     0     1     1     9
 -4.4171899292245911E+00 a        10     0     1     1    10
 -9.8829345195037561E+01 a        11     0     1     1    11
  1.1440875569973016E+01 a        12     0     1     1    12
 -2.8364259174896890E+01 a        13     0     1     1    13
  2.5376770697795403E+00 a        14     0     1     1    14
  2.4775560605537585E+01 a        15     0     1     1    15
 -2.2938952445481785E+01 a        16     0     1     1    16
  1.5792798356863839E+01 a        17     0     1     1    17
 -3.5893691982363904E+01 a        18     0     1     1    18
  1.3474708149759611E+00 a        19     0     1     1    19
 -6.3330242683309015E+00 a        20     0     1     1    20
 -1.8123225760790156E+01 a        21     0     1     1    21
  6.6646348923519849E-01 a        22     0     1     1    22
  9.2285268154644715E+00 a        23     0     1     1    23
 -9.9629665219754688E+00 a        24     0     1     1    24
 -8.1860098109043566E-01 a        25     0     1     1    25
  1.5277889404677729E+00 a        26     0     1     1    26
  3.2739453644740069E+00 a        27     0     1     1    27
 -8.5919262690633111E+00 a        28     0     1     1    28
 -3.3443082694208406E+00 a        29     0     1     1    29
  8.1079886570942996E+00 a        30     0     1     1    30
 -2.0611552590405083E+01 a        31     0     2     1     1
  2.0258378464804379E+00 a        32     0     2     1     2
 -5.0080942285486874E+00 a        33     0     2     1     3
 -8.0307691590214514E+00 a        34     0     2     1     4
  3.0764812803716963E+00 a        35     0     2     1     5
  5.3793905610935688E+00 a        36     0     2     1     6
 -1.9818942114746121E+00 a        37     0     2     1     7
  6.6291445595847875E+00 a        38     0     2     1     8
  8.0520059726788080E+00 a        39     0     2     1     9
 -8.7117357054479392E+00 a        40     0     2     1    10
 -2.0843170553109587E+01 a        41     0     2     1    11
 -5.1478059388922015E-01 a        42     0     2     1    12
 -6.4354700734596753E+00 a        43     0     2     1    13
 -1.3238840629526734E+00 a        44     0     2     1    14
 -2.8543053653246286E-01 a        45     0     2     1    15
 -1.4169499288419802E+00 a        46     0     2     1    16
 -4.2590435353631060E+00 a        47     0     2     1    17
 -2.2645942755049337E+01 a        48     0     2     1    18
 -9.7356047923680080E+00 a        49     0     2     1    19
  9.8032907219736707E+00 a        50     0     2     1    20
 -6.5416372060944337E+00 a        51     0     2     1    21
  3.4034965197026668E-01 a        52     0     2     1    22
  1.2588740183771526E+01 a        53     0     2     1    23
  1.5682371453699666E+01 a        54     0     2     1    24
 -6.4551443539412121E+00 a        55     0     2     1    25
  1.5419823138440620E+00 a        56     0     2     1    26
 -9.8430704262008319E+00 a        57     0     2     1    27
 -9.5236130309149374E+00 a        58     0     2     1    28
  1.4348004597173232E+00 a        59     0     2     1    29
  3.8899384837494808E+00 a        60     0     2     1    30
  3.8731294019116307E+00 a        61     0     3     1     1
  4.4254066243516696E+00 a        62     0     3     1     2
  6.0442404058102088E+00 a        63     0     3     1     3
 -2.8909745020424953E+01 a        64     0     3     1     4
  1.0781761311380464E+01 a        65     0     3     1     5
  1.2813501129976441E+01 a        66     0     3     1     6
 -6.5460262586094906E+00 a        67     0     3     1     7
 -3.1209464279186561E+00 a        68     0     3     1     8
 -1.0222063822889131E+01 a        69     0     3     1     9
 -1.5708036952356643E+01 a        70     0     3     1    10
  3.6439123628574620E+01 a        71     0     3     1    11
 -8.5237896417817858E+00 a        72     0     3     1    12
  1.1862774677810295E+01 a        73     0     3     1    13
 -7.2527416610578914E+00 a        74     0     3     1    14
 -1.5064832914761720E+01 a        75     0     3     1    15
  1.4410265022905925E+01 a        76     0     3     1    16
 -1.9972345381974257E+01 a        77     0     3     1    17
 -1.8806422517666171E+01 a        78     0     3     1    18
 -1.8945985017471251E+01 a        79     0     3     1    19
  2.5019766687939605E+01 a        80     0     3     1    20
  2.4128029512955362E+00 a        81     0     3     1    21
  6.6258220742120573E+00 a        82     0     3     1    22
  1.7605862905611900E+01 a        83     0     3     1    23
  3.8024105467493065E+01 a        84     0     3     1    24
 -7.8404408663172083E+00 a        85     0     3     1    25
 -1.1825329324615501E+00 a        86     0     3     1    26
 -2.0599252079424772E+01 a        87     0     3     1    27
 -1.5974209280637126E+01 a        88     0     3     1    28
  5.4518571298273484E+00 a        89     0     3     1    29
  3.5745726875745567E+00 a        90     0     3     1    30
  8.2211969119463610E+00 a        91     0     4     1     1
  1.7574818474693593E+01 a        92     0     4     1     2
  1.6932745298654357E+01 a        93     0     4     1     3
 -4.7591095031376739E+01 a        94     0     4     1     4
  8.1129198312755406E+00 a        95     0     4     1     5
  1.2818364028870697E+01 a        96     0     4     1     6
  1.9164361576228257E+00 a        97     0     4     1     7
 -1.9187223472801726E+01 a        98     0     4     1     8
 -7.2868298987981897E+00 a        99     0     4     1     9
 -2.3392054829902602E+01 a       100     0     4     1    10
  2.8602206268766839E+01 a       101     0     4     1    11
  2.4628244666046628E+00 a       102     0     4     1    12
  1.5543204586082169E+01 a       103     0     4     1    13
 -1.5052134608296980E+01 a       104     0     4     1    14
 -2.6263657198715581E+01 a       105     0     4     1    15
  2.2777135079274696E+01 a       106     0     4     1    16
 -2.0461145197697135E+01 a       107     0     4     1    17
  6.2878403114100196E+00 a       108     0     4     1    18
 -1.1521811107346278E+00 a       109     0     4     1    19
  3.2112265096318154E+01 a       110     0     4     1    20
  4.2492341535831342E+00 a       111     0     4     1    21
 -2.1988579373300670E+01 a       112     0     4     1    22
  1.3033912881798743E+01 a       113     0     4     1    23
  4.2439011173532784E+01 a       114     0     4     1    24
 -8.5114156435860231E+00 a       115     0     4     1    25
 -1.9295236295737446E+01 a       116     0     4     1    26
 -1.9188856648774728E+01 a       117     0     4     1    27
  8.6603046472672744E+00 a       118     0     4     1    28
  5.9372390356179441E+00 a       119     0     4     1    29
  1.0448336901454361E+01 a       120     0     4     1    30
