################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         47   1.6750103274028684E-02   1.9322224274624041E+01   7.2934304651147288E+00   1.0741724678873015E+00
         1         48   3.2109976216207653E-01   3.2905657720623367E+01   6.1898112378093941E+00   3.5409336231452140E+00
         1         49   2.2898966468436154E-06   1.1979725573073384E+01   4.3705394586076185E+00   2.8026157501912614E+00
         1         50   1.3252471201870747E-01   4.4364918492810670E+00   5.0027593089916111E-01   1.9058629565254248E-01
         1         51   3.3960028295108233E-03   3.4288170738170112E+00   4.0543710346090389E-01   2.4673519976312830E-01
         1         52   6.0429873320149981E-04   4.0912545253660770E+00   2.4781665414795251E-01   3.0183069981505517E-01
         1         53   5.2392473562690529E-05   7.7613155363681796E-01   2.1505268110478823E-01   3.3978324955687741E-02
         1         54   2.4127872296345477E-04   1.5390917626752210E+00   5.4156055485376380E-02   6.1151038959254111E-02
         1         55   1.0915697546814811E-09   5.8277427102961510E-01   1.4258849424670053E-01   9.5900222086084994E-02
         1         56   1.2464506792397940E-04   3.3758049892905684E-01   2.6988443942374679E-03   5.3133796196044641E-03
         1         57   1.6821669465736250E-07   3.9133888327338141E-02   7.5335598935630742E-04   6.7036218959821297E-04
         1         58   8.3087993912943367E-09   1.0278483944249274E-01   2.7679177732523925E-04   9.3328765994840201E-04
         1         59   2.5886947268129486E-09   6.1143051004806668E-03   5.0798186097545512E-04   1.7626958973689113E-04
         1         60   9.3382722297742203E-10   6.4948273905906351E-02   5.6349765779079144E-05   3.2147829772040062E-04
         1         61   1.3422457462768965E-14   2.9936898340307346E-03   3.6916036973579184E-04   2.6687652881369150E-04
         1         62   4.4447485203775133E-10   1.1029791045138229E-02   4.2890230710321943E-06   5.3269119108673073E-05
         2          1   5.3664994930801890E-01   5.7748945517276081E+02   2.2252842438288260E+02   6.8012652311075740E+01
         2          2   3.2166695085887598E-01   4.6912458736407871E+02   1.7651598795085178E+02   5.5409221702091571E+01
         2          3   1.3282131152925822E-01   3.3345470422981771E+02   1.2107468833824150E+02   3.9613110073415015E+01
         2          4   2.9084326817473458E-02   2.1286496351385969E+02   6.7275552558407128E+01   2.3248381452537416E+01
         2          5   2.1835416870704463E-03   1.1373318408624397E+02   2.8453802034993711E+01   1.0169676999948372E+01
         2          6   9.2249082871237309E-01   3.9646575849453126E+02   1.8439630392174450E+02   4.7430909701032071E+01
         2          7   2.6653474232389791E-05   4.7094985673137899E+01   9.2470282176259762E+00   2.7894828482615601E+00
         2          8   1.4552482178414120E-01   5.5040742955206110E+02   2.1558652419874880E+02   6.6638414260957163E+01
