################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.1667068348240335E+00 a       117     0     4     1    27
  1.1167635587462678E+01 a       118     0     4     1    28
  3.4232124824220032E+00 a       119     0     4     1    29
  1.9047624669818068E+00 a       120     0     4     1    30
 -2.1495875028874828E+01 a       121     0     5     1     1
  2.8181084185769745E+00 a       122     0     5     1     2
 -1.2650229397412043E+00 a       123     0     5     1     3
 -8.4883078925262438E+00 a       124     0     5     1     4
  6.2660708033087442E-01 a       125     0     5     1     5
 -7.8566682007111357E+00 a       126     0     5     1     6
 -2.4283110658449378E+00 a       127     0     5     1     7
 -6.4894486547377630E+00 a       128     0     5     1     8
 -9.7924963527885254E+00 a       129     0     5     1     9
 -2.2680783438707447E+01 a       130     0     5     1    10
 -6.9982984442478413E+00 a       131     0     5     1    11
 -5.1326131191858897E+00 a       132     0     5     1    12
  2.6222371286777495E+00 a       133     0     5     1    13
 -9.5143124860174879E+00 a       134     0     5     1    14
 -5.6996517931863613E+00 a       135     0     5     1    15
 -1.2934273476393223E+00 a       136     0     5     1    16
 -4.3864462787203315E+00 a       137     0     5     1    17
  9.3154898436998899E+00 a       138     0     5     1    18
 -1.8162126483420813E+00 a       139     0     5     1    19
  1.0626518148135293E+01 a       140     0     5     1    20
 -6.7875299279636014E-01 a       141     0     5     1    21
 -8.1348607123450201E+00 a       142     0     5     1    22
  5.2238745708713106E+00 a       143     0     5     1    23
  1.9648960943434395E+00 a       144     0     5     1    24
  1.4034619819431596E+01 a       145     0     5     1    25
 -8.7076887503775957E+00 a       146     0     5     1    26
  2.5125225569264207E+00 a       147     0     5     1    27
  3.8951280893693538E+00 a       148     0     5     1    28
  2.3744915508448372E+00 a       149     0     5     1    29
  3.0782574635049147E+00 a       150     0     5     1    30
 -6.7883549173033479E+00 a       151     0     6     1     1
 -1.2422367102002607E-01 a       152     0     6     1     2
 -1.3261076061750414E+00 a       153     0     6     1     3
  3.2659905610477842E+00 a       154     0     6     1     4
  6.7527820829860641E+00 a       155     0     6     1     5
  2.1640084093853749E+00 a       156     0     6     1     6
 -1.2935294607829459E+01 a       157     0     6     1     7
  8.2274402369731980E+00 a       158     0     6     1     8
 -7.8084373369058051E+00 a       159     0     6     1     9
  5.8006405895634638E-01 a       160     0     6     1    10
 -3.2169939562646621E+00 a       161     0     6     1    11
  8.1173373430384608E+00 a       162     0     6     1    12
