################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0508099819121693E+01 a         1     0     1     1     1
 -2.0824462344587534E+01 a         2     0     1     1     2
  4.2566674403091804E+00 a         3     0     1     1     3
  1.8997406883987911E-01 a         4     0     1     1     4
  5.4017988310211891E+00 a         5     0     1     1     5
  3.1826453423011147E-01 a         6     0     1     1     6
  1.4475457724563947E+01 a         7     0     1     1     7
 -1.6579932171363115E+01 a         8     0     1     1     8
 -1.8917831038270397E-01 a         9     0     1     1     9
 -4.0781477319660638E+01 a        10     0     1     1    10
  1.5854140559654118E+01 a        11     0     1     1    11
 -8.3456588991971330E+00 a        12     0     1     1    12
 -3.6080065905562217E+00 a        13     0     1     1    13
  9.2062515713567361E+00 a        14     0     1     1    14
  2.8627705600076747E-01 a        15     0     1     1    15
  2.1214731676557378E+01 a        16     0     1     1    16
  1.5206686286520624E+01 a        17     0     1     1    17
  8.9215137221106993E+00 a        18     0     1     1    18
  2.8173159852001469E+01 a        19     0     1     1    19
 -1.9628549975239750E+01 a        20     0     1     1    20
  1.3915564893947494E+01 a        21     0     1     1    21
  6.6175521700874382E+00 a        22     0     1     1    22
 -5.1246442921533983E+00 a        23     0     1     1    23
 -5.5972949881698426E+00 a        24     0     1     1    24
  7.0970592679769213E+00 a        25     0     1     1    25
 -4.6064633798160584E+00 a        26     0     1     1    26
  4.8671642067866285E+00 a        27     0     1     1    27
 -1.9400027044699005E+01 a        28     0     1     1    28
 -1.1292729715341574E+01 a        29     0     1     1    29
  3.3632177064363855E+00 a        30     0     1     1    30
  1.6047919809656708E+00 a        31     0     2     1     1
 -1.2132150642620747E+01 a        32     0     2     1     2
 -2.7483050007929046E+00 a        33     0     2     1     3
 -3.7390365250719910E+01 a        34     0     2     1     4
 -4.1085224946845038E+00 a        35     0     2     1     5
 -2.8966741949540705E+01 a        36     0     2     1     6
  1.4233970184001713E+01 a        37     0     2     1     7
 -1.8221186388862115E+01 a        38     0     2     1     8
 -8.6418842216801046E+00 a        39     0     2     1     9
  3.6521662316655743E+01 a        40     0     2     1    10
 -6.6326835313841572E+00 a        41     0     2     1    11
  1.7324428574607829E+01 a        42     0     2     1    12
  2.1475796965105733E+01 a        43     0     2     1    13
 -7.8905250111230885E+00 a        44     0     2     1    14
  4.1462427515826885E+00 a        45     0     2     1    15
 -1.7450623667581709E+01 a        46     0     2     1    16
 -1.3934626188050663E+01 a        47     0     2     1    17
  9.4851217974739992E+00 a        48     0     2     1    18
 -1.4199630129735328E+00 a        49     0     2     1    19
 -6.7622783020506292E+00 a        50     0     2     1    20
 -8.1113646841217726E+00 a        51     0     2     1    21
 -8.5080797110129804E+00 a        52     0     2     1    22
 -6.9716496802080918E+00 a        53     0     2     1    23
  2.6247850421404845E+01 a        54     0     2     1    24
 -1.4880566107229889E+01 a        55     0     2     1    25
  4.7465179286068091E+00 a        56     0     2     1    26
  3.8879892951895481E+00 a        57     0     2     1    27
 -4.3657029443801045E+00 a        58     0     2     1    28
  1.4668391281043720E+00 a        59     0     2     1    29
  8.6660335202280159E-01 a        60     0     2     1    30
 -7.0622611246460054E-01 a        61     0     3     1     1
 -1.6512834624612942E+01 a        62     0     3     1     2
 -9.0921414859082628E+00 a        63     0     3     1     3
 -3.7358463619378362E+01 a        64     0     3     1     4
 -1.3623289784953165E+01 a        65     0     3     1     5
 -4.2083386854662940E+01 a        66     0     3     1     6
  2.3142150412068605E+00 a        67     0     3     1     7
 -2.0038427354506378E+01 a        68     0     3     1     8
 -1.1265825738973110E+01 a        69     0     3     1     9
  6.8528050103253278E+01 a        70     0     3     1    10
 -1.7544598469970939E+01 a        71     0     3     1    11
  2.5893630985095264E+01 a        72     0     3     1    12
 -7.4247871515460009E+00 a        73     0     3     1    13
 -3.2190742072662717E+00 a        74     0     3     1    14
  1.2056288177919162E+01 a        75     0     3     1    15
