################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.0153452296395855E+00 a       117     0     4     1    27
 -1.0741227152868143E+01 a       118     0     4     1    28
 -5.0983647567039538E+00 a       119     0     4     1    29
  9.3860041757196448E+00 a       120     0     4     1    30
  9.4613798854163349E+00 a       121     0     5     1     1
  1.8174544622587280E+01 a       122     0     5     1     2
 -2.9089409597465362E+01 a       123     0     5     1     3
 -2.9476455178569989E+01 a       124     0     5     1     4
 -4.1030975366760067E+01 a       125     0     5     1     5
  3.2307034729348246E+01 a       126     0     5     1     6
  2.0341743449489329E+01 a       127     0     5     1     7
 -2.9119407116688141E+00 a       128     0     5     1     8
  3.7130821751967609E+01 a       129     0     5     1     9
  3.9503628921709083E-01 a       130     0     5     1    10
 -1.1521156746522124E+01 a       131     0     5     1    11
 -3.1832211431598987E+00 a       132     0     5     1    12
  1.0954453291060413E+00 a       133     0     5     1    13
  4.9532559539934748E+00 a       134     0     5     1    14
  2.8096319985023808E+01 a       135     0     5     1    15
 -1.7592598063955229E+01 a       136     0     5     1    16
 -1.5077645287842234E+01 a       137     0     5     1    17
 -5.8077207644131299E+00 a       138     0     5     1    18
 -1.2721268792972795E+01 a       139     0     5     1    19
 -3.4414483669467508E+01 a       140     0     5     1    20
  1.3228472526162927E+01 a       141     0     5     1    21
 -4.8624199541398568E+01 a       142     0     5     1    22
 -1.1660042950854114E+01 a       143     0     5     1    23
 -7.0786903631410354E+00 a       144     0     5     1    24
  1.1583260270845335E+01 a       145     0     5     1    25
 -1.4368244129658390E+01 a       146     0     5     1    26
 -8.8531607894264521E+00 a       147     0     5     1    27
  2.1538277087944675E+01 a       148     0     5     1    28
  1.6098294000354290E+00 a       149     0     5     1    29
 -1.8190391548124918E+01 a       150     0     5     1    30
  1.9935358321806913E+00 a       151     0     6     1     1
 -2.6254729807808350E+00 a       152     0     6     1     2
  4.4000758858161744E+00 a       153     0     6     1     3
 -2.2350761425429990E+01 a       154     0     6     1     4
 -6.1830879714574554E+00 a       155     0     6     1     5
 -5.0153010723373610E+00 a       156     0     6     1     6
  1.6099999123946411E+00 a       157     0     6     1     7
  2.1570008221645583E+01 a       158     0     6     1     8
  1.8057510806867256E+00 a       159     0     6     1     9
 -8.1386788350065462E+00 a       160     0     6     1    10
 -5.4124168109909983E+00 a       161     0     6     1    11
 -5.9880612879923492E+00 a       162     0     6     1    12
 -2.4471306964293884E+00 a       163     0     6     1    13
  5.8929959169730073E-01 a       164     0     6     1    14
  1.7219819132273670E+00 a       165     0     6     1    15
  9.7428802736747408E-02 a       166     0     6     1    16
 -6.1917676350866211E+00 a       167     0     6     1    17
 -1.2927962349384925E+00 a       168     0     6     1    18
 -4.9585163762025584E+00 a       169     0     6     1    19
 -1.0905040509014558E+01 a       170     0     6     1    20
 -8.4854538337724783E+00 a       171     0     6     1    21
 -5.0463871835417455E+00 a       172     0     6     1    22
  6.0312257456850249E-01 a       173     0     6     1    23
 -8.5652199988149427E+00 a       174     0     6     1    24
  6.0358845229462270E+00 a       175     0     6     1    25
  2.0362024349962686E+00 a       176     0     6     1    26
 -3.3267367364426454E+00 a       177     0     6     1    27
  3.4804042497367598E+00 a       178     0     6     1    28
 -3.5743355241434207E+00 a       179     0     6     1    29
 -2.0412685079162523E+00 a       180     0     6     1    30
 -2.6452078694895022E+01 a       181     0     7     1     1
 -1.1493164511697756E+01 a       182     0     7     1     2
  2.1377218795588188E+01 a       183     0     7     1     3
 -6.2907233106850747E+01 a       184     0     7     1     4
  1.0922700936607166E+01 a       185     0     7     1     5
 -2.8285729568363539E+01 a       186     0     7     1     6
  1.0542602871830510E+01 a       187     0     7     1     7
 -6.5217654501199034E+00 a       188     0     7     1     8
 -1.6763478493178493E+01 a       189     0     7     1     9
  1.0872558372774650E+01 a       190     0     7     1    10
 -2.7498169091029098E+01 a       191     0     7     1    11
 -2.1216996439509192E+01 a       192     0     7     1    12
  1.0897710941476003E+01 a       193     0     7     1    13
 -2.9601719038887197E+01 a       194     0     7     1    14
 -2.1427536936783763E+01 a       195     0     7     1    15
  2.9991597605619177E+01 a       196     0     7     1    16
 -1.4209929342195173E+00 a       197     0     7     1    17
  5.3523875365544082E+00 a       198     0     7     1    18
  3.7505611956414159E-01 a       199     0     7     1    19
  1.9458358846608796E+01 a       200     0     7     1    20
 -9.6035197615023371E+00 a       201     0     7     1    21
  4.3721043010550268E+01 a       202     0     7     1    22
  1.8155303146442552E+01 a       203     0     7     1    23
  3.9182044858656564E+00 a       204     0     7     1    24
  7.2030268441299686E-02 a       205     0     7     1    25
 -1.6220779481445617E+00 a       206     0     7     1    26
 -1.3647571535055201E+00 a       207     0     7     1    27
 -3.5458994592556459E+00 a       208     0     7     1    28
  1.1357558121260155E+01 a       209     0     7     1    29
  1.5197129588016857E+01 a       210     0     7     1    30
 -5.9386591265089370E+00 a       211     0     8     1     1
 -4.5234483187779500E+00 a       212     0     8     1     2
  1.0215282393220924E+01 a       213     0     8     1     3
 -2.8276800021010729E+01 a       214     0     8     1     4
 -1.4447567314712938E+01 a       215     0     8     1     5
 -1.2711984562479698E+01 a       216     0     8     1     6
  8.8289552241836837E+00 a       217     0     8     1     7
  3.3068762828817992E+00 a       218     0     8     1     8
  7.0269673916394275E+00 a       219     0     8     1     9
 -3.7788934532783656E+00 a       220     0     8     1    10
 -7.5427311529463763E+00 a       221     0     8     1    11
 -2.4775728885422637E+01 a       222     0     8     1    12
 -1.0305460166611424E+00 a       223     0     8     1    13
 -1.2323889666249022E+01 a       224     0     8     1    14
 -5.4691434723041332E-01 a       225     0     8     1    15
  7.8416630907305374E+00 a       226     0     8     1    16
 -6.7776707388421178E+00 a       227     0     8     1    17
  3.3964875458475325E+00 a       228     0     8     1    18
 -3.2411309314515533E+00 a       229     0     8     1    19
 -7.1056593767167593E+00 a       230     0     8     1    20
 -3.4075502400395261E+00 a       231     0     8     1    21
 -3.2393843494117969E-01 a       232     0     8     1    22
 -5.1461820949729127E+00 a       233     0     8     1    23
 -1.0894730730350908E+01 a       234     0     8     1    24
  5.9705595086138512E+00 a       235     0     8     1    25
 -6.9684302832086842E-01 a       236     0     8     1    26
 -9.2420457637978775E+00 a       237     0     8     1    27
  1.4274297248235056E+01 a       238     0     8     1    28
 -4.3802920414501151E-01 a       239     0     8     1    29
  2.5052699858034766E-02 a       240     0     8     1    30
  1.4002082339756386E+01 a       241     0     9     1     1
 -2.2154095127477809E+00 a       242     0     9     1     2
  6.7853951879354857E-01 a       243     0     9     1     3
  2.1038818610159172E+01 a       244     0     9     1     4
 -7.0175393755549376E+00 a       245     0     9     1     5
 -4.0731679711673445E+00 a       246     0     9     1     6
 -3.2583802822426051E+00 a       247     0     9     1     7
  1.8097833043632804E+01 a       248     0     9     1     8
  3.7920132885342639E+00 a       249     0     9     1     9
 -8.0683340253384781E+00 a       250     0     9     1    10
  5.1718123946632630E+00 a       251     0     9     1    11
 -3.0996266099693077E+00 a       252     0     9     1    12
